cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
11,Guanajuato,0,Estatal,1001000001,Superficie continental,2020,30606.6740691,Kilómetros cuadrados
11,Guanajuato,0,Estatal,1002000001,Población total,1910,1081651,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1921,860364,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1930,987801,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1940,1046490,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1950,1328712,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1960,1735490,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1970,2270370,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1980,3006110,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1990,3982593,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,1995,4406568,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,2000,4663032,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,2005,4893812,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,2010,5486372,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,2015,5864777,Personas
11,Guanajuato,0,Estatal,1002000001,Población total,2020,6166934,Personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,1995,2139104,Personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2000,2233315,Personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2005,2329136,Personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2010,2639425,Personas
11,Guanajuato,0,Estatal,1002000002,Población total hombres,2020,2996454,Personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,1995,2267464,Personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2000,2429717,Personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2005,2564676,Personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2010,2846947,Personas
11,Guanajuato,0,Estatal,1002000003,Población total mujeres,2020,3170480,Personas
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,29.6,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.4,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,27,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,27.3,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,26.8260103862922,No especificada
11,Guanajuato,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,25.907015321976,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,28.7,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,27.2,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,26,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27,No especificada
11,Guanajuato,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,13.0281530737005,No especificada
